,Letter,Precision,Recall,F1
0,A,0.5000,0.5000,0.5000
1,B,0.3333,1.0000,0.5000
2,C,1.0000,0.7500,0.8571
3,D,0.6667,0.6667,0.6667
4,E,0.0000,0.0000,0.0000
5,F,1.0000,0.5000,0.6667
6,G,0.6667,0.5000,0.5714
7,H,1.0000,0.3333,0.5000
8,I,1.0000,1.0000,1.0000
9,J,1.0000,0.5000,0.6667
10,K,0.5000,0.3333,0.4000
11,L,1.0000,0.7500,0.8571
12,M,0.2857,0.6667,0.4000
13,N,0.6000,0.7500,0.6667
14,O,1.0000,1.0000,1.0000
15,P,1.0000,0.6667,0.8000
16,Q,0.6000,1.0000,0.7500
17,R,0.5000,0.7500,0.6000
18,S,1.0000,0.6667,0.8000
19,T,1.0000,1.0000,1.0000
20,U,1.0000,1.0000,1.0000
21,V,0.6667,0.6667,0.6667
22,W,0.7500,1.0000,0.8571
23,X,1.0000,0.5000,0.6667
24,Y,1.0000,0.6667,0.8000
25,Z,0.6667,0.6667,0.6667
