,Letter,Precision,Recall,F1
0,A,0.3333,0.5000,0.4000
1,B,1.0000,0.5000,0.6667
2,C,0.6000,0.7500,0.6667
3,D,1.0000,0.3333,0.5000
4,E,0.3333,1.0000,0.5000
5,F,0.3333,0.5000,0.4000
6,G,0.2500,0.2500,0.2500
7,H,1.0000,0.6667,0.8000
8,I,0.7500,1.0000,0.8571
9,J,0.3333,0.2500,0.2857
10,K,0.5000,0.3333,0.4000
11,L,0.7500,0.7500,0.7500
12,M,0.2500,0.3333,0.2857
13,N,0.6667,0.5000,0.5714
14,O,0.1667,0.3333,0.2222
15,P,0.2500,0.3333,0.2857
16,Q,0.0000,0.0000,0.0000
17,R,0.6667,0.5000,0.5714
18,S,0.6667,0.6667,0.6667
19,T,0.5000,0.5000,0.5000
20,U,1.0000,0.3333,0.5000
21,V,0.0000,0.0000,0.0000
22,W,0.2000,0.3333,0.2500
23,X,0.5000,1.0000,0.6667
24,Y,0.5000,0.3333,0.4000
25,Z,0.0000,0.0000,0.0000
