,Letter,Precision,Recall,F1
0,A,1.0000,0.5000,0.6667
1,B,0.6667,1.0000,0.8000
2,C,1.0000,1.0000,1.0000
3,D,0.7500,1.0000,0.8571
4,E,1.0000,1.0000,1.0000
5,F,1.0000,0.5000,0.6667
6,G,0.8000,1.0000,0.8889
7,H,0.5000,0.6667,0.5714
8,I,0.7500,1.0000,0.8571
9,J,1.0000,0.7500,0.8571
10,K,0.3333,0.3333,0.3333
11,L,1.0000,0.7500,0.8571
12,M,0.5000,0.3333,0.4000
13,N,1.0000,0.7500,0.8571
14,O,1.0000,1.0000,1.0000
15,P,1.0000,0.6667,0.8000
16,Q,1.0000,1.0000,1.0000
17,R,0.7500,0.7500,0.7500
18,S,0.6667,0.6667,0.6667
19,T,0.5000,0.5000,0.5000
20,U,1.0000,1.0000,1.0000
21,V,1.0000,0.6667,0.8000
22,W,0.5000,1.0000,0.6667
23,X,0.5000,1.0000,0.6667
24,Y,0.6667,0.6667,0.6667
25,Z,1.0000,0.6667,0.8000
